date,symbol,open,high,low,close,volume
2026-02-28,nifty50,24558.803,24632.4794,24485.1266,24558.803,0
2026-02-28,nifty_it,38014.6727,38128.7167,37900.6287,38014.6727,0
2026-02-28,gold_mcx,2337.2389,2344.2506,2330.2272,2337.2389,0
2026-02-28,inr_usd,0.0121,0.0121,0.0121,0.0121,0
2026-03-01,nifty50,24415.177,24488.4225,24341.9315,24415.177,0
2026-03-01,nifty_it,37860.7999,37974.3823,37747.2175,37860.7999,0
2026-03-01,gold_mcx,2359.9772,2367.0571,2352.8973,2359.9772,0
2026-03-01,inr_usd,0.012,0.012,0.012,0.012,0
2026-03-03,nifty50,24396.3921,24469.5813,24323.2029,24396.3921,0
2026-03-03,nifty_it,37834.3211,37947.8241,37720.8181,37834.3211,0
2026-03-07,nifty50,24552.0719,24625.7281,24478.4157,24552.0719,0
2026-03-07,nifty_it,37863.7798,37977.3711,37750.1885,37863.7798,0
2026-03-07,gold_mcx,2348.6136,2355.6594,2341.5678,2348.6136,0
2026-03-07,inr_usd,0.012,0.012,0.012,0.012,0
2026-03-08,nifty50,24574.6845,24648.4086,24500.9604,24574.6845,0
2026-03-08,nifty_it,37694.9422,37808.027,37581.8574,37694.9422,0
2026-03-08,gold_mcx,2338.1838,2345.1984,2331.1692,2338.1838,0
2026-03-08,inr_usd,0.012,0.012,0.012,0.012,0
2026-03-14,nifty50,24407.0311,24480.2522,24333.81,24407.0311,0
2026-03-14,nifty_it,37647.1448,37760.0862,37534.2034,37647.1448,0
2026-03-14,gold_mcx,2357.8095,2364.8829,2350.7361,2357.8095,0
2026-03-14,inr_usd,0.012,0.012,0.012,0.012,0
2026-03-15,nifty50,24362.6155,24435.7033,24289.5277,24362.6155,0
2026-03-15,nifty_it,37798.8954,37912.2921,37685.4987,37798.8954,0
2026-03-15,gold_mcx,2348.0304,2355.0745,2340.9863,2348.0304,0
2026-03-15,inr_usd,0.012,0.012,0.012,0.012,0
2026-03-21,nifty50,24539.6314,24613.2503,24466.0125,24539.6314,0
2026-03-21,nifty_it,37748.2403,37861.485,37634.9956,37748.2403,0
2026-03-21,gold_mcx,2330.3015,2337.2924,2323.3106,2330.3015,0
2026-03-21,inr_usd,0.012,0.012,0.012,0.012,0
2026-03-22,nifty50,24512.0444,24585.5805,24438.5083,24512.0444,0
2026-03-22,nifty_it,37826.1426,37939.621,37712.6642,37826.1426,0
2026-03-22,gold_mcx,2347.4085,2354.4507,2340.3663,2347.4085,0
2026-03-22,inr_usd,0.012,0.012,0.012,0.012,0
2026-03-26,nifty50,24482.1814,24555.6279,24408.7349,24482.1814,0
2026-03-26,nifty_it,37749.6432,37862.8921,37636.3943,37749.6432,0
2026-03-28,nifty50,24413.3371,24486.5771,24340.0971,24413.3371,0
2026-03-28,nifty_it,37907.2224,38020.9441,37793.5007,37907.2224,0
2026-03-28,gold_mcx,2347.0596,2354.1008,2340.0184,2347.0596,0
2026-03-28,inr_usd,0.012,0.012,0.012,0.012,0
2026-03-29,nifty50,24535.3158,24608.9217,24461.7099,24535.3158,0
2026-03-29,nifty_it,37786.5534,37899.9131,37673.1937,37786.5534,0
2026-03-29,gold_mcx,2338.1324,2345.1468,2331.118,2338.1324,0
2026-03-29,inr_usd,0.012,0.012,0.012,0.012,0
2026-03-31,nifty50,24315.8271,24388.7746,24242.8796,24315.8271,0
2026-03-31,nifty_it,37858.8932,37972.4699,37745.3165,37858.8932,0
2026-04-03,nifty50,24346.8618,24419.9024,24273.8212,24346.8618,0
2026-04-03,nifty_it,37830.5695,37944.0612,37717.0778,37830.5695,0
2026-04-03,gold_mcx,2329.2841,2336.272,2322.2962,2329.2841,0
2026-04-04,nifty50,24263.1483,24335.9377,24190.3589,24263.1483,0
2026-04-04,nifty_it,37887.8567,38001.5203,37774.1931,37887.8567,0
2026-04-04,gold_mcx,2341.7824,2348.8077,2334.7571,2341.7824,0
2026-04-04,inr_usd,0.012,0.012,0.012,0.012,0
2026-04-05,nifty50,24407.537,24480.7596,24334.3144,24407.537,0
2026-04-05,nifty_it,37818.1161,37931.5704,37704.6618,37818.1161,0
2026-04-05,gold_mcx,2335.0984,2342.1037,2328.0931,2335.0984,0
2026-04-05,inr_usd,0.012,0.012,0.012,0.012,0
2026-04-11,nifty50,24361.1952,24434.2788,24288.1116,24361.1952,0
2026-04-11,nifty_it,37726.2308,37839.4095,37613.0521,37726.2308,0
2026-04-11,gold_mcx,2334.4892,2341.4927,2327.4857,2334.4892,0
2026-04-11,inr_usd,0.012,0.012,0.012,0.012,0
2026-04-12,nifty50,24514.3609,24587.904,24440.8178,24514.3609,0
2026-04-12,nifty_it,37712.3246,37825.4616,37599.1876,37712.3246,0
2026-04-12,gold_mcx,2345.5978,2352.6346,2338.561,2345.5978,0
2026-04-12,inr_usd,0.012,0.012,0.012,0.012,0
2026-04-14,nifty50,24494.2057,24567.6883,24420.7231,24494.2057,0
2026-04-14,nifty_it,37898.3597,38012.0548,37784.6646,37898.3597,0
2026-04-18,nifty50,24475.933,24549.3608,24402.5052,24475.933,0
2026-04-18,nifty_it,37799.3876,37912.7858,37685.9894,37799.3876,0
2026-04-18,gold_mcx,2337.1882,2344.1998,2330.1766,2337.1882,0
2026-04-18,inr_usd,0.012,0.012,0.012,0.012,0
2026-04-19,nifty50,24535.0221,24608.6272,24461.417,24535.0221,0
2026-04-19,nifty_it,37866.4839,37980.0834,37752.8844,37866.4839,0
2026-04-19,gold_mcx,2349.3025,2356.3504,2342.2546,2349.3025,0
2026-04-19,inr_usd,0.012,0.012,0.012,0.012,0
2026-04-25,nifty50,24503.3978,24576.908,24429.8876,24503.3978,0
2026-04-25,nifty_it,38001.8478,38115.8533,37887.8423,38001.8478,0
2026-04-25,gold_mcx,2344.4345,2351.4678,2337.4012,2344.4345,0
2026-04-25,inr_usd,0.012,0.012,0.012,0.012,0
2026-04-26,nifty50,24383.9498,24457.1016,24310.798,24383.9498,0
2026-04-26,nifty_it,37900.716,38014.4181,37787.0139,37900.716,0
2026-04-26,gold_mcx,2348.8769,2355.9235,2341.8303,2348.8769,0
2026-04-26,inr_usd,0.0121,0.0121,0.0121,0.0121,0
2026-05-01,nifty50,24478.1766,24551.6111,24404.7421,24478.1766,0
2026-05-01,nifty_it,37847.0046,37960.5456,37733.4636,37847.0046,0
2026-05-02,nifty50,24521.8747,24595.4403,24448.3091,24521.8747,0
2026-05-02,nifty_it,37753.1258,37866.3852,37639.8664,37753.1258,0
2026-05-02,gold_mcx,2341.0592,2348.0824,2334.036,2341.0592,0
2026-05-02,inr_usd,0.012,0.012,0.012,0.012,0
2026-05-03,nifty50,24422.2175,24495.4842,24348.9508,24422.2175,0
2026-05-03,nifty_it,37794.9824,37908.3673,37681.5975,37794.9824,0
2026-05-03,gold_mcx,2336.243,2343.2517,2329.2343,2336.243,0
2026-05-03,inr_usd,0.012,0.012,0.012,0.012,0
2026-05-09,nifty50,24514.4056,24587.9488,24440.8624,24514.4056,0
2026-05-09,nifty_it,37823.4475,37936.9178,37709.9772,37823.4475,0
2026-05-09,gold_mcx,2333.5132,2340.5137,2326.5127,2333.5132,0
2026-05-09,inr_usd,0.012,0.012,0.012,0.012,0
2026-05-10,nifty50,24332.1251,24405.1215,24259.1287,24332.1251,0
2026-05-10,nifty_it,37940.7385,38054.5607,37826.9163,37940.7385,0
2026-05-10,gold_mcx,2340.9823,2348.0052,2333.9594,2340.9823,0
2026-05-10,inr_usd,0.012,0.012,0.012,0.012,0
2026-05-16,nifty50,24528.2875,24601.8724,24454.7026,24528.2875,0
2026-05-16,nifty_it,37720.6323,37833.7942,37607.4704,37720.6323,0
2026-05-16,gold_mcx,2353.221,2360.2807,2346.1613,2353.221,0
2026-05-16,inr_usd,0.012,0.012,0.012,0.012,0
2026-05-17,nifty50,24432.6005,24505.8983,24359.3027,24432.6005,0
2026-05-17,nifty_it,37861.5539,37975.1386,37747.9692,37861.5539,0
2026-05-17,gold_mcx,2345.5382,2352.5748,2338.5016,2345.5382,0
2026-05-17,inr_usd,0.012,0.012,0.012,0.012,0
2026-05-23,nifty50,24343.1181,24416.1475,24270.0887,24343.1181,0
2026-05-23,nifty_it,37630.3896,37743.2808,37517.4984,37630.3896,0
2026-05-23,gold_mcx,2347.019,2354.0601,2339.9779,2347.019,0
2026-01-09,nifty50,25840.400390625,25940.599609375,25623.0,25683.30078125,348800
2026-01-09,nifty_it,37861.25,38244.55078125,37861.1484375,38027.19921875,20800
2026-01-19,inr_usd,90.7020034790039,91.00029754638672,90.5958023071289,90.7020034790039,0
2026-05-23,inr_usd,95.68000030517578,95.68000030517578,95.68000030517578,95.68000030517578,0
2026-01-09,sensex,84022.09375,84406.21875,83402.28125,83576.2421875,12500
2026-01-12,nifty50,25669.05078125,25813.150390625,25473.400390625,25790.25,275800
2026-01-12,nifty_it,37938.6015625,38079.6015625,37573.1015625,37988.25,20200
2026-02-06,gold_mcx,4762.0,4958.5,4655.0,4951.2001953125,1386
2026-05-25,gold_mcx,4532.0,4582.60009765625,4531.2998046875,4523.2001953125,21640
2026-01-20,inr_usd,90.90450286865234,91.04810333251952,90.86930084228516,90.90450286865234,0
2026-01-12,sensex,83435.3125,83962.328125,82861.0703125,83878.171875,9300
2026-01-13,nifty50,25897.349609375,25899.80078125,25603.30078125,25732.30078125,339500
2026-01-13,nifty_it,38227.8515625,38394.3984375,37777.75,38236.6015625,33700
2026-01-21,inr_usd,91.11830139160156,91.80999755859376,91.00270080566406,91.11840057373048,0
2026-01-13,sensex,84079.3203125,84258.03125,83262.7890625,83627.6875,14200
2026-01-14,nifty50,25648.55078125,25791.75,25603.94921875,25665.599609375,393100
2026-01-14,nifty_it,38127.19921875,38295.75,37649.1484375,37822.69921875,23600
2026-02-09,gold_mcx,5017.39990234375,5065.7001953125,4979.10009765625,5050.89990234375,170
2026-01-22,inr_usd,91.53700256347656,91.66500091552734,91.09310150146484,91.53690338134766,0
2026-01-14,sensex,83358.5390625,83809.9765625,83185.203125,83382.7109375,14100
2026-02-10,gold_mcx,5013.5,5029.0,5002.7001953125,5003.7998046875,281
2026-01-23,inr_usd,91.55829620361328,91.97599792480467,91.4229965209961,91.55829620361328,0
2026-02-11,gold_mcx,5049.89990234375,5111.2998046875,5041.2998046875,5071.60009765625,2681
2026-01-16,nifty50,25696.05078125,25873.5,25662.400390625,25694.349609375,434000
2026-01-16,nifty_it,38433.3515625,39139.5,38390.5,39086.6484375,48900
2026-02-12,gold_mcx,5060.39990234375,5078.10009765625,4892.0,4923.7001953125,484
2026-01-26,inr_usd,91.5927963256836,91.78759765625,91.38400268554688,91.5009994506836,0
2026-01-16,sensex,83670.7890625,84134.96875,83456.5,83570.3515625,22800
2026-01-19,nifty50,25653.099609375,25653.30078125,25494.349609375,25585.5,443100
2026-01-19,nifty_it,38892.3984375,38977.6484375,38624.8984375,38902.5,89700
2026-02-13,gold_mcx,4953.0,5043.89990234375,4946.2001953125,5022.0,232
2026-01-27,inr_usd,91.71309661865234,91.88800048828124,91.5031967163086,91.71309661865234,0
2026-01-19,sensex,83494.4921875,83539.9296875,82898.3125,83246.1796875,14200
2026-01-20,nifty50,25580.30078125,25585.0,25171.349609375,25232.5,409800
2026-01-20,nifty_it,38753.19921875,38809.0,38023.8515625,38101.05078125,35600
2026-01-28,inr_usd,91.5343017578125,92.32749938964844,91.41809844970705,91.5343017578125,0
2026-01-20,sensex,83207.3828125,83254.28125,82010.578125,82180.46875,13000
